scope,model,gauge,sequence,absrel,rmse,delta1,tce,failed,catastrophic,n
L256_existing_13,dense_reset,none,rgbd_dataset_freiburg3_walking_static,0.18336052334205635,0.8816806268967944,0.8434930111589126,0.04016251118666177,0,0,2
L256_existing_13,dense_reset,median,rgbd_bonn_crowd2,0.17322773080343362,0.4026714303003252,0.8356159313237618,0.03492403115033042,0,0,3
L256_existing_13,dense_reset,median,rgbd_bonn_person_tracking2,0.10016411993547947,0.3721489380874209,0.9092698350718089,0.023426293216461235,0,0,2
L256_existing_13,dense_reset,median,rgbd_bonn_static_close_far,0.21344483967494512,0.5358336745833124,0.7687967181701847,0.01888372043141492,0,0,6
L256_existing_13,dense_reset,median,rgbd_dataset_freiburg3_walking_static,0.17447919717962357,0.9230391837462208,0.838064117967848,0.04216364131003214,0,0,2
L256_existing_13,dense_reset,scaleshift,rgbd_bonn_crowd2,0.16018102926722158,0.4178485767686608,0.8196195748573927,0.03742657510297114,0,0,3
L256_existing_13,dense_reset,scaleshift,rgbd_bonn_person_tracking2,0.09694600434770582,0.3952534395597318,0.9185027990485807,0.021640422655224298,0,0,2
L256_existing_13,dense_reset,scaleshift,rgbd_bonn_static_close_far,0.21067540336546334,0.9659255913182634,0.6950536354049164,0.027132935438314482,0,0,6
L256_existing_13,dense_reset,scaleshift,rgbd_dataset_freiburg3_walking_static,0.19126569991018103,0.9276036893477111,0.7937205129758808,0.03714860231504726,0,0,2
L256_existing_13,sparse_k5,none,rgbd_bonn_crowd2,0.17018712162283792,0.4036350229705691,0.8241977735374695,0.03859089493729013,0,0,3
L256_existing_13,sparse_k5,none,rgbd_bonn_person_tracking2,0.10829394699954986,0.41645027835345527,0.8683355026086689,0.026055776190285942,0,0,2
L256_existing_13,sparse_k5,none,rgbd_bonn_static_close_far,0.33461999600329556,1.2177856607512052,0.3291965793882953,0.018673917479840735,0,0,6
L256_existing_13,sparse_k5,none,rgbd_dataset_freiburg3_walking_static,0.17243736774463958,0.8478666839796004,0.8371329113436726,0.04505615700972889,0,0,2
L256_existing_13,sparse_k5,median,rgbd_bonn_crowd2,0.17307609790562642,0.40505420537192754,0.8207397500072974,0.03938077761415604,0,0,3
L256_existing_13,sparse_k5,median,rgbd_bonn_person_tracking2,0.1094201040552569,0.395101245956604,0.893404478827525,0.02706888559276174,0,0,2
L256_existing_13,sparse_k5,median,rgbd_bonn_static_close_far,0.22058049671329227,0.550411871350561,0.758847187729961,0.021608157889396018,0,0,6
L256_existing_13,sparse_k5,median,rgbd_dataset_freiburg3_walking_static,0.1646521175587581,0.8763084087044406,0.8306435900277157,0.04755244296041989,0,0,2
L256_existing_13,sparse_k5,scaleshift,rgbd_bonn_crowd2,0.1504187569152104,0.4205368929419645,0.8109907620180902,0.042605661743065106,0,0,3
L256_existing_13,sparse_k5,scaleshift,rgbd_bonn_person_tracking2,0.10425550703682776,0.4124621372684991,0.9031809222269286,0.025241243505352486,0,0,2
L256_existing_13,sparse_k5,scaleshift,rgbd_bonn_static_close_far,0.2434648454037735,9.45051264362946,0.6744847644128472,0.05265135258111476,2,0,6
L256_existing_13,sparse_k5,scaleshift,rgbd_dataset_freiburg3_walking_static,0.1807562215465805,0.9069917722004622,0.8036937095576039,0.04383643202463079,0,0,2
