scope,left,right,gauge,metric,left_equal_sequence,right_equal_sequence,difference,ci_low,ci_high,sign_flip_p,sequence_n,bootstrap_draws,sign_flip_draws
L256_existing_13,sparse_k30,output_hold,median,absrel,0.18415260957921256,0.17911389398069597,0.00503871559851659,-0.0061233090235841,0.01142163112961081,0.5,4,256,16
L256_existing_13,sparse_k30,output_hold,median,delta1,0.7963817754394071,0.8180163239518582,-0.02163454851245103,-0.031230802042527483,-0.012053976942216077,0.125,4,256,16
L256_existing_13,sparse_k30,output_hold,median,tce,0.03096588451420441,0.029756474670254482,0.0012094098439499289,-0.00015825086012052209,0.0026288002606240047,0.375,4,256,16
L256_existing_13,sparse_k30,output_hold,scaleshift,absrel,0.19561255925425772,0.17735926343321823,0.018253295821039493,-0.011635034161683142,0.061964123856729704,0.75,4,256,16
L256_existing_13,sparse_k30,output_hold,scaleshift,delta1,0.7694981567403546,0.7888178467392672,-0.019319689998912704,-0.028046585375357036,-0.007557930137385149,0.125,4,256,16
L256_existing_13,sparse_k30,output_hold,scaleshift,tce,0.04117175586625255,0.02934936081789591,0.011822395048356643,0.0010364872563447796,0.03199277448901804,0.125,4,256,16
L256_new_13,sparse_k30,sparse_k5,none,absrel,0.21156499195892076,0.19638460809258074,0.01518038386634002,0.010451334638940407,0.02313307966268651,0.125,4,256,16
L256_new_13,sparse_k30,sparse_k5,none,delta1,0.6874809946881731,0.7147156917195265,-0.027234697031353394,-0.036336664930487705,-0.018132729132219083,0.125,4,256,16
L256_new_13,sparse_k30,sparse_k5,none,tce,0.029448581163080932,0.03209418640428642,-0.00264560524120549,-0.0041244639579128585,-0.0012683372453450113,0.125,4,256,16
L256_new_13,sparse_k30,sparse_k5,median,absrel,0.18415260957921256,0.16693220405823342,0.01722040552097914,0.011325253897683109,0.0262626147960722,0.125,4,256,16
L256_new_13,sparse_k30,sparse_k5,median,delta1,0.7963817754394071,0.8259087516481247,-0.02952697620871761,-0.0373703966194584,-0.021683555797976817,0.125,4,256,16
L256_new_13,sparse_k30,sparse_k5,median,tce,0.03096588451420441,0.03390256601418342,-0.0029366814999790096,-0.004406023975054482,-0.001345669027092317,0.125,4,256,16
L256_new_13,sparse_k30,sparse_k5,scaleshift,absrel,0.19561255925425772,0.16972383272559805,0.02588872652865968,0.010389345415789994,0.04801131799637613,0.125,4,256,16
L256_new_13,sparse_k30,sparse_k5,scaleshift,delta1,0.7694981567403546,0.7980875395538675,-0.028589382813512892,-0.03770982232017267,-0.017720711063041378,0.125,4,256,16
L256_new_13,sparse_k30,sparse_k5,scaleshift,tce,0.04117175586625255,0.041083672463540784,8.808340271176766e-05,-0.004603326116703024,0.007127110272682011,1.0,4,256,16
L256_new_13,sparse_k30,sparse_k10,none,absrel,0.21156499195892076,0.2005508123650411,0.011014179593879639,0.007051279645902159,0.01756309480503103,0.125,4,256,16
L256_new_13,sparse_k30,sparse_k10,none,delta1,0.6874809946881731,0.7052693413257372,-0.01778834663756404,-0.023824698802492522,-0.012252853481369397,0.125,4,256,16
