model,source,sequence,clip_id,mean_ms,p50_ms,p95_ms,max_ms,repeat_min_ms,repeat_max_ms,peak_allocated_mib,state_mib,keyframes,dense_fallbacks,gmc_calls,gmc_fallbacks,frames,repeats
midas_384,bonn,rgbd_bonn_crowd2,bonn:0,11.424256978853009,11.327290485496633,11.733785504475236,15.278470003977418,11.266558289548811,11.634786535751118,160.60791015625,0.0,0,0,0,0,256,5
midas_384,bonn,rgbd_bonn_person_tracking2,bonn:3,11.482585257590472,11.445304000517353,11.901646001206245,19.073669012868777,11.338088522848011,11.728857875596077,160.60791015625,0.0,0,0,0,0,256,5
midas_384,bonn,rgbd_bonn_static_close_far,bonn:5,11.767490613920017,11.765121002099477,11.946933157742023,14.661621011327952,11.751998174986511,11.777255319657343,160.60791015625,0.0,0,0,0,0,256,5
sparse_k10,tum,rgbd_dataset_freiburg3_walking_static,tum:0,7.5916143809763525,8.071902499068528,8.190149880829267,9.36814397573471,7.587512675058861,7.592958331315458,63.67822265625,13.5009765625,26,16,0,0,256,5
sparse_k10,bonn,rgbd_bonn_crowd2,bonn:0,7.716479273881305,7.650277504581027,7.961802737554535,13.424998993286863,7.643282285130226,7.757298468050067,63.67822265625,13.5009765625,26,90,0,0,256,5
sparse_k10,bonn,rgbd_bonn_person_tracking2,bonn:3,7.7862496362740785,7.874591494328342,8.024357137037441,9.000869002193213,7.7838421957494575,7.788249317172813,63.67822265625,13.5009765625,26,63,0,0,256,5
sparse_k10,bonn,rgbd_bonn_static_close_far,bonn:5,7.204061387255933,7.706807009526528,8.069867198355496,12.94902601512149,7.141735895174861,7.236468156520459,63.67822265625,13.5009765625,26,8,0,0,256,5
da2_196,tum,rgbd_dataset_freiburg3_walking_static,tum:0,9.3604969213402,9.355790010886267,9.413715996197425,16.868200997123495,9.346205153406117,9.385617897464726,117.81884765625,0.0,0,0,0,0,256,5
da2_196,bonn,rgbd_bonn_crowd2,bonn:0,9.100742429313868,9.087645506951958,9.193335846066475,10.193147987592965,9.092147617366209,9.111442761991384,117.81884765625,0.0,0,0,0,0,256,5
da2_196,bonn,rgbd_bonn_person_tracking2,bonn:3,9.10643263628117,9.116196510149166,9.237776698137168,16.76929899258539,9.005293230984535,9.14256268401914,117.81884765625,0.0,0,0,0,0,256,5
da2_196,bonn,rgbd_bonn_static_close_far,bonn:5,9.241934733358903,9.246176006854512,9.316118081915192,9.867561981081963,9.238904132644166,9.250144585962516,117.81884765625,0.0,0,0,0,0,256,5
dense_carry,tum,rgbd_dataset_freiburg3_walking_static,tum:0,7.640073510719958,7.637938993866555,7.701535166415852,8.218308008508757,7.6347887350038945,7.645191878282276,61.42626953125,12.0,256,0,0,0,256,5
dense_carry,bonn,rgbd_bonn_crowd2,bonn:0,7.359540280208421,7.366549500147812,7.462817226769403,9.031992987729609,7.312890715638787,7.382267344041793,61.42626953125,12.0,256,0,0,0,256,5
dense_carry,bonn,rgbd_bonn_person_tracking2,bonn:3,7.328343863878217,7.373348009423353,7.509626299724914,13.359655975364149,7.155833945489576,7.434083339262543,61.42626953125,12.0,256,0,0,0,256,5
dense_carry,bonn,rgbd_bonn_static_close_far,bonn:5,7.517839239881141,7.527189518441446,7.5958783039823174,11.328818975016475,7.476232091221391,7.5344863460031775,61.42626953125,12.0,256,0,0,0,256,5
