scope,model,gauge,aggregation,absrel,rmse,delta1,tce,failed,catastrophic,n
matched_timing_4x256,dense_carry,scaleshift,balanced,0.16173404990306567,0.6806180664310484,0.7693998908200026,0.028245589245816837,0,0,4
matched_timing_4x256,dense_carry,scaleshift,equal_sequence,0.17924602850180998,0.5861336914760447,0.7251364745718386,0.029464587446689675,0,0,4
matched_timing_4x256,dense_reset,none,balanced,0.18688265872793464,0.6357374098092887,0.8373360802923129,0.032571175460381394,0,0,4
matched_timing_4x256,dense_reset,none,equal_sequence,0.22035287476982512,0.5256673017437485,0.7926593412932635,0.031238570028401434,0,0,4
matched_timing_4x256,dense_reset,median,balanced,0.17462567320655598,0.658191169168302,0.8366654458115538,0.03309492545141934,0,0,4
matched_timing_4x256,dense_reset,median,equal_sequence,0.2014973352968279,0.5311878695007994,0.8008892730188107,0.031105684473894953,0,0,4
matched_timing_4x256,dense_reset,scaleshift,balanced,0.16836105463158926,0.7083510013903764,0.7713618141453006,0.030741663606196998,0,0,4
matched_timing_4x256,dense_reset,scaleshift,equal_sequence,0.18375830650994288,0.607434293026114,0.7310509811386101,0.03212483511468614,0,0,4
matched_timing_4x256,output_hold,none,balanced,0.2052808028025952,0.7045117184580483,0.8152577328483392,0.033172306533347615,0,0,4
matched_timing_4x256,output_hold,none,equal_sequence,0.2462449434874239,0.5912822365942422,0.7672265926105455,0.03255359226993425,0,0,4
matched_timing_4x256,output_hold,median,balanced,0.18946516747010883,0.7253402022096176,0.8124560151287896,0.033535039018324775,0,0,4
